,time,androidSensorAccelerometerMean,androidSensorAccelerometerMin,androidSensorAccelerometerMax,androidSensorAccelerometerStd,androidSensorGyroscopeMean,androidSensorGyroscopeMin,androidSensorGyroscopeMax,androidSensorGyroscopeStd,soundMean,soundMin,soundMax,soundStd,target
1,5,9.845444054,9.780972501,9.952643749,0.03079491377,0,0,0,0,0,0,0,0,Still
2,3,9.674599374,9.430140944,10.0068879,0.1131778022,0,0,0,0,0,0,0,0,Car
3,26,9.810161923,9.52916362,10.22819041,0.145189694,0,0,0,0,0,0,0,0,Train
4,28,9.829931095,9.45586446,10.20307956,0.1541159288,0,0,0,0,0,0,0,0,Train
5,27,9.832281077,9.507575471,10.2341651,0.1589893247,0,0,0,0,0,0,0,0,Train
6,19,9.73207583,9.308784084,10.48683576,0.2019288457,0,0,0,0,0,0,0,0,Train
7,17,9.728209279,9.111534979,10.15468033,0.210600143,0,0,0,0,0,0,0,0,Train
8,15,9.710964032,9.025275401,10.58850612,0.3376149847,0,0,0,0,0,0,0,0,Train
9,11,9.697011692,8.549579365,10.38363065,0.3691426981,0,0,0,0,0,0,0,0,Train
10,16,9.682682072,8.686881967,10.61227743,0.3744738462,0,0,0,0,0,0,0,0,Train
11,14,9.708185815,8.466818603,11.03914617,0.4090992933,0,0,0,0,0,0,0,0,Train
12,33,9.561283099,8.758009651,10.36455655,1.136000204,0,0,0,0,0,0,0,0,Walking
13,7,10.21413559,5.789288807,16.22799443,1.985451354,0,0,0,0,0,0,0,0,Still
14,139,10.63605065,7.266960258,15.9687103,2.201945217,0,0,0,0,0,0,0,0,Walking
15,8,10.21834411,6.183213789,14.71755809,2.237107074,0,0,0,0,0,0,0,0,Walking
16,6,10.21001482,8.58870334,11.83132631,2.292880691,0,0,0,0,0,0,0,0,Walking
17,158,9.618073995,5.922819532,14.54097129,2.356410916,0,0,0,0,0,0,0,0,Walking
18,171,10.15645599,6.03467266,15.11177939,2.477392567,0,0,0,0,0,0,0,0,Walking
19,75,9.352884264,5.619170705,13.79241434,2.483082504,0,0,0,0,0,0,0,0,Walking
20,179,10.51145657,6.365270761,15.42419533,2.634607106,0,0,0,0,0,0,0,0,Walking
21,50,9.646884286,6.007895039,16.17007706,2.713195911,0,0,0,0,0,0,0,0,Walking
22,109,9.58927247,6.169314576,14.38452975,2.743534333,0,0,0,0,0,0,0,0,Walking
23,18,9.559225149,6.413207888,13.88934497,2.806739918,0,0,0,0,0,0,0,0,Walking
24,95,10.49004474,5.672728457,16.05762384,2.845757259,0,0,0,0,0,0,0,0,Walking
25,76,10.84562029,6.152664149,16.19509683,2.877191595,0,0,0,0,0,0,0,0,Walking
26,87,9.692141012,4.771758849,14.24196121,2.906466332,0,0,0,0,0,0,0,0,Walking
27,53,9.969497371,6.451342358,15.81359625,2.920324235,0,0,0,0,0,0,0,0,Walking
28,73,9.609608037,5.227120602,14.95686596,2.923319125,0,0,0,0,0,0,0,0,Walking
29,57,10.20946588,5.68618823,15.10876045,2.943313496,0,0,0,0,0,0,0,0,Walking
30,137,9.967466982,5.054984793,15.15981651,2.946476617,0,0,0,0,0,0,0,0,Walking
31,108,10.50351132,6.416467659,16.12018046,2.977038015,0,0,0,0,0,0,0,0,Walking
32,70,9.874566695,5.986484921,16.28087294,2.97732865,0,0,0,0,0,0,0,0,Walking
33,181,11.11292982,6.622235558,16.87863964,3.005967214,0,0,0,0,0,0,0,0,Walking
34,19,11.07814446,5.027796041,15.96587543,3.017836832,0,0,0,0,0,0,0,0,Walking
35,97,11.28763774,5.896685161,16.74685601,3.032473177,0,0,0,0,0,0,0,0,Walking
36,44,10.60455224,5.517263075,15.45274317,3.054812211,0,0,0,0,0,0,0,0,Walking
37,176,9.701761216,5.651362715,16.48124237,3.093557563,0,0,0,0,0,0,0,0,Walking
38,61,10.17142614,5.75877543,15.87803441,3.123617004,0,0,0,0,0,0,0,0,Walking
39,82,9.739031951,4.945713744,17.04063266,3.136205936,0,0,0,0,0,0,0,0,Walking
40,102,9.420004151,5.018950405,14.91732672,3.157002991,0,0,0,0,0,0,0,0,Walking
41,51,10.60246484,6.745377082,15.70122617,3.168510085,0,0,0,0,0,0,0,0,Walking
42,85,11.46373662,5.23663965,16.22939882,3.173192941,0,0,0,0,0,0,0,0,Walking
43,163,10.7647292,6.028096206,16.12921636,3.212571408,0,0,0,0,0,0,0,0,Walking
44,79,10.42006836,4.951968568,16.15711753,3.272625982,0,0,0,0,0,0,0,0,Walking
45,78,10.72230274,6.146944545,16.23102087,3.312764389,0,0,0,0,0,0,0,0,Walking
46,23,9.695111559,5.327063599,16.99338174,3.418866688,0,0,0,0,0,0,0,0,Walking
47,35,10.39904371,5.05721619,18.94033333,3.523532506,0,0,0,0,0,0,0,0,Walking
48,100,10.17756166,4.595131101,17.63669607,3.551270962,0,0,0,0,0,0,0,0,Walking
49,195,10.33898811,4.840619051,15.06451501,3.662170603,0,0,0,0,0,0,0,0,Walking
50,60,9.881908533,9.865342891,9.894657924,0.009182082426,0.001727787843,0.001727787843,0.001727787843,0,0,0,0,0,Still
51,129,9.856059054,9.778768838,9.912850861,0.02320333464,0.001727787843,0.001727787843,0.001727787843,0,0,0,0,0,Still
52,197,9.831399478,9.816993115,9.855585624,0.009903545672,0.002992616328,0.002992616328,0.002992616328,0.0001843737657,0,0,0,0,Still
53,53,9.818226314,9.67713019,9.974900433,0.08354146082,0.01627621724,0.01611573164,0.01643670283,0.0002269609083,0,0,0,0,Still
54,149,9.834423865,9.817072525,9.846191287,0.00772131309,0.0012217305,0.0012217305,0.0012217305,0.0002745776641,0,0,0,0,Still
