time,androidSensorAccelerometerMean,androidSensorAccelerometerMin,androidSensorAccelerometerMax,androidSensorAccelerometerStd,androidSensorGyroscopeMean,androidSensorGyroscopeMin,androidSensorGyroscopeMax,androidSensorGyroscopeStd,soundMean,soundMin,soundMax,soundStd,target
5,9.84544405406999,9.78097250149999,9.95264374902,0.0307949137735,0,0,0,0,0,0,0,0,Still
3,9.67459937389,9.43014094429,10.0068879,0.113177802166,0,0,0,0,0,0,0,0,Car
26,9.81016192333,9.52916362022,10.2281904056,0.145189694008,0,0,0,0,0,0,0,0,Train
28,9.82993109466,9.45586446006,10.2030795645,0.154115928818,0,0,0,0,0,0,0,0,Train
27,9.83228107719,9.5075754708,10.2341651040999,0.158989324718,0,0,0,0,0,0,0,0,Train
19,9.73207583047,9.30878408398,10.4868357649,0.201928845735,0,0,0,0,0,0,0,0,Train
17,9.72820927937,9.11153497924999,10.1546803339,0.210600142981,0,0,0,0,0,0,0,0,Train
15,9.71096403213,9.02527540101,10.5885061184,0.33761498472,0,0,0,0,0,0,0,0,Train
11,9.69701169228,8.54957936498999,10.3836306503999,0.36914269814,0,0,0,0,0,0,0,0,Train
16,9.68268207161,8.6868819668,10.6122774274,0.374473846227,0,0,0,0,0,0,0,0,Train
14,9.70818581475,8.46681860283,11.0391461731999,0.409099293292,0,0,0,0,0,0,0,0,Train
33,9.56128309927999,8.75800965147,10.3645565471,1.13600020419,0,0,0,0,0,0,0,0,Walking
7,10.2141355931,5.78928880666999,16.2279944303,1.98545135435,0,0,0,0,0,0,0,0,Still
139,10.6360506514,7.26696025781,15.968710299,2.20194521667,0,0,0,0,0,0,0,0,Walking
8,10.2183441089,6.18321378909,14.7175580892,2.23710707413,0,0,0,0,0,0,0,0,Walking
6,10.2100148245,8.58870333974,11.8313263092,2.29288069054,0,0,0,0,0,0,0,0,Walking
158,9.61807399464,5.9228195319,14.5409712888,2.35641091591,0,0,0,0,0,0,0,0,Walking
171,10.156455986,6.03467266024,15.111779389,2.47739256673,0,0,0,0,0,0,0,0,Walking
75,9.35288426375,5.61917070465999,13.7924143352,2.48308250394,0,0,0,0,0,0,0,0,Walking
179,10.5114565702,6.36527076122,15.4241953275,2.63460710646,0,0,0,0,0,0,0,0,Walking
50,9.64688428606,6.00789503946,16.1700770615,2.71319591102,0,0,0,0,0,0,0,0,Walking
109,9.58927247038999,6.16931457564,14.3845297514,2.74353433304,0,0,0,0,0,0,0,0,Walking
18,9.55922514902,6.41320788803,13.8893449672,2.80673991777,0,0,0,0,0,0,0,0,Walking
95,10.4900447391,5.67272845738,16.0576238403,2.84575725944,0,0,0,0,0,0,0,0,Walking
76,10.8456202872,6.15266414913,16.1950968258,2.87719159467,0,0,0,0,0,0,0,0,Walking
87,9.6921410117,4.77175884941999,14.2419612134,2.90646633242999,0,0,0,0,0,0,0,0,Walking
53,9.96949737125,6.45134235795,15.8135962544,2.92032423498,0,0,0,0,0,0,0,0,Walking
73,9.60960803749,5.22712060176,14.9568659592,2.92331912546,0,0,0,0,0,0,0,0,Walking
57,10.2094658793,5.68618822982,15.1087604465,2.94331349584,0,0,0,0,0,0,0,0,Walking
137,9.96746698165,5.05498479305,15.1598165060999,2.94647661702,0,0,0,0,0,0,0,0,Walking
108,10.5035113150999,6.41646765929999,16.1201804603,2.97703801546,0,0,0,0,0,0,0,0,Walking
70,9.87456669513,5.98648492056999,16.2808729423,2.97732864957,0,0,0,0,0,0,0,0,Walking
