,time,androidSensorAccelerometerMean,androidSensorAccelerometerMin,androidSensorAccelerometerMax,androidSensorAccelerometerStd,androidSensorGyroscopeMean,androidSensorGyroscopeMin,androidSensorGyroscopeMax,androidSensorGyroscopeStd,soundMean,soundMin,soundMax,soundStd,target
1,5,9.84544405406999,9.78097250149999,9.95264374902,0.0307949137735,0,0,0,0,0,0,0,0,Still
2,3,9.67459937389,9.43014094429,10.0068879,0.113177802166,0,0,0,0,0,0,0,0,Car
3,26,9.81016192333,9.52916362022,10.2281904056,0.145189694008,0,0,0,0,0,0,0,0,Train
4,28,9.82993109466,9.45586446006,10.2030795645,0.154115928818,0,0,0,0,0,0,0,0,Train
5,27,9.83228107719,9.5075754708,10.2341651040999,0.158989324718,0,0,0,0,0,0,0,0,Train
6,19,9.73207583047,9.30878408398,10.4868357649,0.201928845735,0,0,0,0,0,0,0,0,Train
7,17,9.72820927937,9.11153497924999,10.1546803339,0.210600142981,0,0,0,0,0,0,0,0,Train
8,15,9.71096403213,9.02527540101,10.5885061184,0.33761498472,0,0,0,0,0,0,0,0,Train
9,11,9.69701169228,8.54957936498999,10.3836306503999,0.36914269814,0,0,0,0,0,0,0,0,Train
10,16,9.68268207161,8.6868819668,10.6122774274,0.374473846227,0,0,0,0,0,0,0,0,Train
11,14,9.70818581475,8.46681860283,11.0391461731999,0.409099293292,0,0,0,0,0,0,0,0,Train
12,33,9.56128309927999,8.75800965147,10.3645565471,1.13600020419,0,0,0,0,0,0,0,0,Walking
13,7,10.2141355931,5.78928880666999,16.2279944303,1.98545135435,0,0,0,0,0,0,0,0,Still
14,139,10.6360506514,7.26696025781,15.968710299,2.20194521667,0,0,0,0,0,0,0,0,Walking
15,8,10.2183441089,6.18321378909,14.7175580892,2.23710707413,0,0,0,0,0,0,0,0,Walking
16,6,10.2100148245,8.58870333974,11.8313263092,2.29288069054,0,0,0,0,0,0,0,0,Walking
17,158,9.61807399464,5.9228195319,14.5409712888,2.35641091591,0,0,0,0,0,0,0,0,Walking
18,171,10.156455986,6.03467266024,15.111779389,2.47739256673,0,0,0,0,0,0,0,0,Walking
19,75,9.35288426375,5.61917070465999,13.7924143352,2.48308250394,0,0,0,0,0,0,0,0,Walking
20,179,10.5114565702,6.36527076122,15.4241953275,2.63460710646,0,0,0,0,0,0,0,0,Walking
21,50,9.64688428606,6.00789503946,16.1700770615,2.71319591102,0,0,0,0,0,0,0,0,Walking
22,109,9.58927247038999,6.16931457564,14.3845297514,2.74353433304,0,0,0,0,0,0,0,0,Walking
23,18,9.55922514902,6.41320788803,13.8893449672,2.80673991777,0,0,0,0,0,0,0,0,Walking
24,95,10.4900447391,5.67272845738,16.0576238403,2.84575725944,0,0,0,0,0,0,0,0,Walking
25,76,10.8456202872,6.15266414913,16.1950968258,2.87719159467,0,0,0,0,0,0,0,0,Walking
26,87,9.6921410117,4.77175884941999,14.2419612134,2.90646633242999,0,0,0,0,0,0,0,0,Walking
27,53,9.96949737125,6.45134235795,15.8135962544,2.92032423498,0,0,0,0,0,0,0,0,Walking
28,73,9.60960803749,5.22712060176,14.9568659592,2.92331912546,0,0,0,0,0,0,0,0,Walking
29,57,10.2094658793,5.68618822982,15.1087604465,2.94331349584,0,0,0,0,0,0,0,0,Walking
30,137,9.96746698165,5.05498479305,15.1598165060999,2.94647661702,0,0,0,0,0,0,0,0,Walking
31,108,10.5035113150999,6.41646765929999,16.1201804603,2.97703801546,0,0,0,0,0,0,0,0,Walking
32,70,9.87456669513,5.98648492056999,16.2808729423,2.97732864957,0,0,0,0,0,0,0,0,Walking
33,181,11.112929818,6.62223555753,16.8786396403,3.00596721395,0,0,0,0,0,0,0,0,Walking
34,19,11.078144463,5.02779604101,15.9658754303,3.01783683237,0,0,0,0,0,0,0,0,Walking
35,97,11.2876377437,5.89668516139,16.7468560141,3.03247317698,0,0,0,0,0,0,0,0,Walking
36,44,10.6045522429999,5.51726307504,15.4527431718,3.05481221095,0,0,0,0,0,0,0,0,Walking
37,176,9.70176121639,5.65136271526,16.4812423668,3.09355756308,0,0,0,0,0,0,0,0,Walking
38,61,10.1714261378,5.75877542972,15.8780344073,3.12361700379,0,0,0,0,0,0,0,0,Walking
39,82,9.73903195116,4.94571374378,17.0406326609,3.13620593617,0,0,0,0,0,0,0,0,Walking
40,102,9.42000415128,5.01895040456,14.9173267168,3.15700299083,0,0,0,0,0,0,0,0,Walking
41,51,10.6024648392,6.74537708234,15.7012261718,3.16851008544,0,0,0,0,0,0,0,0,Walking
42,85,11.4637366225999,5.23663964998,16.2293988182,3.17319294081,0,0,0,0,0,0,0,0,Walking
43,163,10.7647291975,6.02809620632,16.1292163561,3.2125714082,0,0,0,0,0,0,0,0,Walking
44,79,10.4200683645,4.95196856822,16.1571175327,3.27262598229,0,0,0,0,0,0,0,0,Walking
45,78,10.7223027446,6.14694454493,16.2310208726,3.31276438908,0,0,0,0,0,0,0,0,Walking
46,23,9.69511155917999,5.32706359936,16.9933817386,3.41886668778,0,0,0,0,0,0,0,0,Walking
47,35,10.3990437117,5.05721619025999,18.9403333327999,3.52353250561,0,0,0,0,0,0,0,0,Walking
48,100,10.1775616628999,4.59513110133,17.636696067,3.55127096165,0,0,0,0,0,0,0,0,Walking
49,195,10.3389881057,4.8406190508,15.064515005,3.66217060259,0,0,0,0,0,0,0,0,Walking
50,60,9.88190853312,9.86534289098,9.89465792352,0.00918208242571,0.00172778784266,0.00172778784266,0.00172778784266,0,0,0,0,0,Still
51,129,9.8560590539,9.77876883773,9.9128508613,0.0232033346367,0.00172778784266,0.00172778784266,0.00172778784266,0,0,0,0,0,Still
52,197,9.83139947793,9.8169931146,9.85558562432,0.00990354567213,0.0029926163282,0.0029926163282,0.0029926163282,0.000184373765715,0,0,0,0,Still
53,53,9.8182263136,9.67713019024999,9.97490043301,0.0835414608165,0.0162762172365,0.0161157316391,0.0164367028338,0.000226960908338,0,0,0,0,Still
54,149,9.83442386506999,9.81707252549999,9.8461912874,0.00772131308994,0.0012217305,0.0012217305,0.0012217305,0.000274577664104,0,0,0,0,Still
55,132,9.85328055109,9.79777040636999,9.89421299343,0.0183523818256,0.00192194357091,0.00172778784266,0.00211609929916,0.000274577664104,0,0,0,0,Still
56,72,9.84109843296,9.81215327628,9.86821695093999,0.0159454195411,0.00182091800734,0.00150651150341,0.00238200383602,0.000318250530978,0,0,0,0,Still
57,24,9.8260477115,9.78949669508,9.85043422164,0.0157650029301,0.00139772884886,0.0010652645,0.0018450922375,0.00033349153658,0,0,0,0,Still
58,152,9.83442790944,9.81717062053,9.85539485132,0.00684598797491,0.00147475917133,0.0012217305,0.00172778784266,0.000357836578664,0,0,0,0,Still
59,67,9.86938387771,9.76895326765,9.93228023632,0.0215180003245,0.00147475917133,0.0012217305,0.00172778784266,0.000357836578664,0,0,0,0,Still
60,43,9.85670389983,9.83942964457,9.8928051065,0.0135175600798,0.00156854655044,0.0010652645,0.00238200383602,0.000394598385083,0,0,0,0,Still
61,154,9.83211022285,9.78922302154999,9.86586789494,0.019728489403,0.00150369124773,0.0010652645,0.002130529,0.000414505692941,0,0,0,0,Still
62,97,9.85018311842,9.81746489944,9.9037516241,0.0138493480402,0.00172778784266,0.00172778784266,0.00172778784266,0.000435417369345,0,0,0,0,Still
63,29,9.82433003592,9.7811178836,9.86387087872,0.0197382382283,0.00191120252564,0.00150651150341,0.00238200383602,0.000441474386305,0,0,0,0,Still
64,6,9.82287975359,9.78569496736,9.84804679166,0.0197727519968,0.00158833643125,0.0010652645,0.002130529,0.000443763079254,0,0,0,0,Still
65,42,9.84683847202,9.82138527399,9.88213886795,0.0160859938446,0.00187000327773,0.0010652645,0.00238200383602,0.000456648127809,0,0,0,0,Still
66,5,9.76543194249,9.72423881636,9.80664058469,0.0209652740611,0.00163684931023,0.0010652645,0.002130529,0.000458541852696,0,0,0,0,Train
67,81,9.83031050051,9.79180354134,9.86240809153,0.0201969430971,0.00179479624277,0.00150651150341,0.0026093544661,0.000478371994144,0,0,0,0,Still
68,3,9.81789492708,9.77615512158,9.85269017102,0.017129251873,0.00158068152172,0.0010652645,0.0026093544661,0.000499931349486,0,0,0,0,Still
69,9,9.86008632379,9.83635075534999,9.9001330987,0.0168840831718,0.00170996582442,0.0010652645,0.00238200383602,0.000506688179242,0,0,0,0,Still
70,18,9.81445293483,9.78057235803,9.85638024066,0.0191857982997,0.00204066629977,0.00150651150341,0.00301302300683,0.000516013638734,0,0,0,0,Train
71,167,9.82719983595,9.796382435,9.86450382724,0.0152288903604,0.00161677749662,0.0010652645,0.0026093544661,0.000517302616042,0,0,0,0,Still
72,80,9.84351930041,9.80621074972,9.8840180892,0.0179905673251,0.00198214944139,0.00150651150341,0.0026093544661,0.000527607346607,0,0,0,0,Still
73,32,9.80898392356,9.7689937552,9.83985380107,0.0141504694494,0.00172629728724,0.0010652645,0.00238200383602,0.00053136936917,0,0,0,0,Still
74,9,9.85644386352,9.81231374871,9.88569214397,0.0178886112418,0.00171866390507,0.0010652645,0.0026093544661,0.000534036093898,0,0,0,0,Still
75,25,9.81735877805,9.78928926317,9.84693714206,0.0161893944371,0.00150511116857,0.0010652645,0.00238200383602,0.000537558102861,0,0,0,0,Still
76,53,9.83795114352,9.78897656987,9.87710441621,0.0219469943967,0.00202407648468,0.0010652645,0.0031957935,0.000538509497127,0,0,0,0,Still
77,194,9.83099917189,9.81707252549999,9.84600498972,0.00659440208191,0.0029926163282,0.0029926163282,0.0029926163282,0.000538852005808,0,0,0,0,Still
